artist,N_songs,N_songs_wL,N_words,N_words_per_s,Avg_in_dict,Avg_in_NAWL,Avg_vulg,Avg_max_N_Anger,Avg_max_N_Fear,Avg_max_N_Happiness,Avg_max_N_Sadness,Avg_max_N_Disgust,Avg_max_N_Neutral,Avg_min_N_Anger,Avg_min_N_Fear,Avg_min_N_Happiness,Avg_min_N_Sadness,Avg_min_N_Disgust,Avg_min_N_Neutral,Avg_max_sum_Anger,Avg_max_sum_Fear,Avg_max_sum_Happiness,Avg_max_sum_Sadness,Avg_max_sum_Disgust,Avg_min_sum_Anger,Avg_min_sum_Fear,Avg_min_sum_Happiness,Avg_min_sum_Sadness,Avg_min_sum_Disgust
O.S.T.R.,447,290,110935,1.74821832937461,0.94495875963402,0.211042502366251,0.00881597331770857,0.0160174269605331,0.0187937809670255,0.0792755851699983,0.010336579531864,0.00427131385614215,0.0361353152229626,0.010635571501794,0.0172561079788143,0.0437382538868956,0.00990944814624979,0.00422860071758073,0.0293439261916966,2.13694149198274,2.46047686370238,3.70036660328891,2.21267405625748,1.76300704888519,1.53943763331625,1.79993666512045,2.59954809833846,1.58252670180249,1.26753135715445
Onar,174,77,27127,1.60205539330794,0.945146901610941,0.209938437718878,0.0118700925277399,0.0210711150131694,0.0142230026338894,0.0890254609306409,0.0187884108867428,0.0151009657594381,0.0412642669007902,0.00737489025460931,0.0124670763827919,0.0458296751536436,0.0184372256365233,0.0108867427568042,0.0344161545215101,2.09670448753292,2.33700377172959,3.72048533394205,2.17735405171203,1.73893653376646,1.44870166656716,1.65084532372256,2.53836600881475,1.49793690928885,1.19550436737489
Otsochodzi,91,53,18906,1.90028212746766,0.92288162488099,0.215540040198879,0.00634719136781974,0.0230674846625767,0.00638036809815951,0.134233128834356,0.0100613496932515,0.00098159509202454,0.0230674846625767,0.0098159509202454,0.00638036809815951,0.0441717791411043,0.00883435582822086,0.00098159509202454,0.018159509202454,2.07415759195092,2.23962526402454,3.97864944,2.05707863479755,1.62845401111656,1.43964130211043,1.59831506802454,2.65880623077301,1.40482687852761,1.132780648
Paktofonika,31,27,12249,1.85379155537334,0.922442648379459,0.163605192260593,0.00546983427218548,0.00998003992015968,0.0344311377245509,0.0893213572854291,0.0264471057884232,0.0029940119760479,0.0369261477045908,0.00548902195608782,0.032934131736527,0.0503992015968064,0.0264471057884232,0.0029940119760479,0.030439121756487,1.98633181721557,2.31449386756487,3.70241498433134,2.04534413687625,1.64910244041916,1.37277545369261,1.63839023532934,2.49640498847305,1.4133837010479,1.13948989605788
Paluch,153,105,41655,1.7332763383417,0.956475813227704,0.21286760292882,0.0144520465730405,0.0125183263787076,0.0174805458441412,0.0875155069358295,0.0142099921055599,0.00733055148302695,0.0336077591068005,0.0081199954888914,0.0170294349836472,0.0513138603811887,0.0127438818089546,0.00710499605277997,0.0292094282169843,2.14213084067892,2.43046293650615,3.72590537176046,2.19898051034172,1.75171164123153,1.51014245204692,1.73588964202098,2.53739411423255,1.51644665027631,1.23062614304725
Peja,607,267,144278,2.18145664780157,0.943061312188969,0.18955765951843,0.0131898141088731,0.0166002413250942,0.0226333686789279,0.0778456250685583,0.0142601191999708,0.00727631723280559,0.0296537350542981,0.0105305495630553,0.0208782770850854,0.0470218289516984,0.0135653954440747,0.00694723755896011,0.0242056382317452,2.2104713602874,2.49899531247943,3.64746027711068,2.26134750417931,1.82242683555889,1.58361255822882,1.807707838974,2.53300783125526,1.59994453367948,1.30503648082928
Pezet,167,73,27502,1.80246522609266,0.951276270816668,0.193840447967421,0.00847211111919133,0.0178202963796661,0.014818983305196,0.106359032076533,0.0110673419621084,0.00769086475332958,0.0256987432001501,0.00994184955918214,0.0120052522978803,0.0647158131682611,0.00975426749202776,0.0075032826861752,0.0213843556555993,2.06736280253236,2.31828667574564,3.82740541924592,2.09835927525793,1.7091884770212,1.44664919679235,1.652770618852,2.64697711318702,1.45851978407428,1.20899634877134
PIH,195,98,41494,1.63821550031229,0.969995662023425,0.241215597435774,0.00990504651274883,0.00859226695973624,0.0213807573184134,0.0683384953541812,0.0245778799080827,0.00809271655510041,0.0437606154460985,0.00529523428913977,0.0195823758617244,0.0463582775502048,0.0233789589369567,0.00779298631231891,0.0378659206713957,2.15023655317215,2.50989107371366,3.509759557778,2.32045650243781,1.82151864826656,1.54966407090618,1.83562247002698,2.49313156123489,1.66933689624338,1.3092475795584
Płomień 81,76,32,15461,2.02036463785607,0.964685337300304,0.20542008925684,0.00840825302373715,0.0138539042821159,0.0239294710327456,0.0931989924433249,0.0116498740554156,0.00409319899244333,0.0340050377833753,0.00787153652392947,0.0229848866498741,0.0494332493702771,0.0110201511335013,0.00409319899244333,0.0283375314861461,2.07946506057935,2.34080545396725,3.75661547821159,2.11559026621537,1.69096594757557,1.48551120790302,1.6948604388539,2.59784455969773,1.50246798970403,1.20563032377204
Pokahontaz,108,56,21901,1.77154273538461,0.945390621432811,0.199442947810602,0.00351582119537921,0.0192307692307692,0.0334249084249084,0.0860805860805861,0.00892857142857143,0.00137362637362637,0.0382326007326007,0.00778388278388278,0.0306776556776557,0.0469322344322344,0.00801282051282051,0.00114468864468864,0.0341117216117216,2.04334866078297,2.37931948768315,3.71735199246795,2.1094795875,1.65785458589744,1.41370503415751,1.69260673095238,2.55819248237179,1.46137058477564,1.14008387158883
PRO8L3M,117,67,21693,1.80222857239703,0.940303323652791,0.206933112063799,0.010648596321394,0.0242815771886835,0.0200490086879038,0.0944531075963466,0.0106928046335487,0.00735130318556471,0.038761416796614,0.0109155713967476,0.0175985742927155,0.054800623746937,0.0102472711071508,0.00646023613276899,0.0338605480062375,2.17410004758298,2.43852404210292,3.57835475388728,2.20277960394297,1.83228134629093,1.5410797823346,1.75082619826242,2.48101629022054,1.54631135631544,1.28862066228559
Quebonafide,136,78,34753,1.99348167686725,0.900469024256899,0.184099214456306,0.00943803412655023,0.0201625507971241,0.0189121600500156,0.0969052829009065,0.0115661144107534,0.00390747108471397,0.0271959987496093,0.0107846201938106,0.0181306658330728,0.0479837449202876,0.0110972178805877,0.00375117224132541,0.0189121600500156,2.11630220106283,2.41597258236949,3.78700422883714,2.18275285301657,1.72372118358862,1.46604726339481,1.72532728268209,2.56287501273836,1.50685598774617,1.1969142631291
Rahim,53,34,12658,1.75087381162794,0.95623321219782,0.197187549375889,0.00395007110127982,0.0120192307692308,0.0292467948717949,0.0993589743589744,0.0136217948717949,0.00120192307692308,0.0412660256410256,0.00721153846153846,0.0260416666666667,0.0496794871794872,0.0132211538461538,0.00120192307692308,0.030849358974359,2.03504124991987,2.34328200953526,3.70188600076122,2.13158889070513,1.67361397303686,1.40725331225962,1.64929699074519,2.46965373253205,1.45990279683494,1.15577973325321
Rasmentalism,119,70,18285,1.42752561368182,0.947607328411266,0.211047306535412,0.00557834290401969,0.0194350868100544,0.0202124902824566,0.0888831303446489,0.0150298004664421,0.00570095879761596,0.0357605597305001,0.00647836227001814,0.0196942213008551,0.0463850738533299,0.0142523969940399,0.00570095879761596,0.0259134490800726,2.07767660559731,2.38035685423685,3.73366883726354,2.15939704252397,1.71367058126458,1.45596961982379,1.71287493182172,2.5972710558694,1.50666514133195,1.20201082744234
schafter,35,1,214,0.924861486866103,0.967289719626168,0.214953271028037,0,0.0217391304347826,0.0434782608695652,0.0652173913043478,0.0434782608695652,0,0,0,0.0434782608695652,0.0217391304347826,0.0434782608695652,0,0,2.41106155652174,2.8005388326087,3.2761674673913,2.26786821086957,1.7687972173913,1.44918245869565,1.77009786304348,1.76424502391304,1.45475660434783,1.06221354347826
Sentino,175,94,39188,1.92160510220774,0.51865366949066,0.0900530774726957,0.00637950392977442,0.0102011901388495,0.0119013884953245,0.069424766222726,0.0107679229243412,0.00311703032020402,0.0286200056673279,0.00566732785491641,0.0104845565315954,0.0325871351657693,0.00991782374610371,0.00255029753471238,0.0226693114196656,2.15959679263247,2.41874791567016,3.63945525355625,2.21301663887787,1.79437791226977,1.6332806519694,1.8477947074242,2.61564742045905,1.65976172125248,1.35582340807594
Słoń,161,84,40842,2.09117174996033,0.903261348611723,0.195582978306645,0.0139562215366534,0.013770655983976,0.0247871807711567,0.07185778668002,0.0136454682023035,0.0190285428142213,0.0329243865798698,0.0101402103154732,0.0230345518277416,0.0378067100650977,0.0135202804206309,0.0176514772158237,0.0271657486229344,2.20196585494492,2.56853799665749,3.3542002989359,2.30069355891337,1.9586742981973,1.61594883067101,1.90602945574612,2.39445734788433,1.68135714641963,1.44215824638207
Sokół,126,86,29169,1.41587423693315,0.946244300455963,0.207926223045014,0.00908498748671535,0.0151690024732069,0.0156636438582028,0.0812860676009893,0.0133553173948887,0.00362737015663644,0.0370981038746909,0.0100577081615829,0.0141797197032152,0.0483099752679308,0.0125309150865622,0.00362737015663644,0.0301731244847486,2.10517707111294,2.36296383264633,3.75038077037098,2.17585637203627,1.72417245495466,1.51386715774114,1.71596912077494,2.64645791386645,1.54161292293487,1.23631865798846
Solar,174,86,36577,1.97094997450164,0.935587937775105,0.184514859064439,0.0129589632829374,0.017780411912876,0.013335308934657,0.0866795080752704,0.0109645873462735,0.00429693287894503,0.0334864424359164,0.0106682471477256,0.013187138835383,0.0438583493850941,0.00977922655208179,0.00385242258112313,0.02652244777004,2.17103289857757,2.42302300588235,3.69441672049192,2.20621594165062,1.76251128663506,1.52594619247296,1.73447222864128,2.53657988285672,1.53020368779078,1.23218210811972
Taco Hemingway,108,69,35540,2.23756013521562,0.924366910523354,0.205177265053461,0.00208216094541362,0.0157707076247943,0.0197476686780033,0.09009873834339,0.0104223806911684,0.00329127811300055,0.0311300054854635,0.00905101481075151,0.0183763027975864,0.051700493691717,0.00891387822270982,0.00301700493691717,0.0267416346681295,2.03442715382611,2.34302777243555,3.71554983760285,2.13362678831596,1.71688021769062,1.44359293450357,1.6939218081322,2.62051007014536,1.49980062893582,1.21973195829676
Te-Tris,49,34,12734,1.61333623718653,0.944950526150463,0.188942987278153,0.00424061567457201,0.0162094763092269,0.0191188694929343,0.0947630922693267,0.00831255195344971,0.00498753117206983,0.0349127182044888,0.0116375727348296,0.0166251039068994,0.0511221945137157,0.00831255195344971,0.00498753117206983,0.0278470490440565,2.0436746443059,2.31283613466334,3.74824958441396,2.10293059584372,1.66335408291771,1.47775385660848,1.70398018998337,2.6425407364921,1.50132326479634,1.20143551321696
TEDE,449,261,98775,1.61414722130623,0.915292331055429,0.167987851176917,0.0156719817767654,0.0153679262339541,0.0173567166877599,0.106189356957753,0.0121135418549991,0.00313385162417887,0.0345326342433556,0.00765382992828301,0.016392454649551,0.0453203157958175,0.0116314108358947,0.00295305249201471,0.0282649309949979,2.05154680800338,2.28025109027903,3.86805164459109,2.06937613492437,1.68775346000723,1.43827237273549,1.62184812855421,2.64654912894594,1.42682168467426,1.18940640356777
